id,group,reference,name,category,size,price,packaging,description,image,stock,new_arrival,promotion,visible_to
1,1--1,1--1,Table,Beach,,140,6,Table Pliable on 1,images/1--1.jpeg,out of stock,no,no,all
2,1215-70,1215-70,Chair,Beach,,75,10,Chair Pliable on 1,images/1215-70.jpeg,in stock,no,no,all
3,1215W,1215W,Chair,Beach,,95,10,Chair Pliable on 1,images/1215W.jpeg,out of stock,no,no,all
4,1257,1257,Chair,Beach,,150,6,Chair Pliable on 1,images/1257.jpeg,in stock,no,no,all
5,1608D,1608D,Chair,Beach,,170,6,Chair Pliable on 1,images/1608D.jpeg,in stock,no,no,all
6,1616H,1616H,Chair,Beach,,120,10,Chair Pliable on 1,images/1616H.jpeg,in stock,no,no,all
7,2007TG-9,2007TG-9,Table,Beach,,225,4,Table Pliable on 1,images/2007TG-9.jpeg,in stock,no,no,all
8,2033,2033,Table,Beach,,140,6,Table Pliable on 1,images/2033.jpeg,out of stock,no,no,all
9,2042,2042,Table,Beach,,350,1,Table Pliable & 4 chairs,images/2042.jpeg,out of stock,no,no,all
10,3350-3,3350-3,Oil Bottle on 2,Oil Bottle,,55,12,Oil Container On 2 Transparent | 400 + 750 ML,images/3350-3.jpeg,in stock,no,no,all
11,3350-4,3350-4,Oil Bottle on 2,Oil Bottle,,60,12,Oil Container On 2 Golden | 400 + 750 ML,images/3350-4.jpeg,in stock,no,no,all
12,3350-9,3350-9,Oil Bottle on 1,Oil Bottle,,26,40,Oil Container On 1 Golden | 750 ML,images/3350-9.jpeg,in stock,no,no,all
13,3350-13,3350-13,Oil Bottle on 2,Oil Bottle,,65,12,Oil Container On 2 Zelija | 400 + 750 ML,images/3350-13.jpeg,in stock,no,no,all
14,3350-15,3350-15,Oil Bottle on 1,Oil Bottle,,27.5,48,Oil Container On 1 Zelija | 400 ML,images/3350-15.jpeg,in stock,no,no,all
15,3350-16,3350-16,Oil Bottle on 1,Oil Bottle,,32.5,40,Oil Container On 1 Zelija | 750 ML,images/3350-16.jpeg,in stock,no,no,all
16,3350-17,3350-17,Oil Bottle on 2,Oil Bottle,,65,12,Oil Container On 2 Tazerzit | 400 + 750 ML,images/3350-17.jpeg,in stock,no,no,all
17,HT601,HT601,Gas Stove 60,Gas Stove,,800,1,Gas Stove on 4 | 60,images/HT601.jpeg,out of stock,no,no,all
18,HT602,HT602,Gas Stove 60,Gas Stove,,800,1,Gas Stove on 4 | 60,images/HT602.jpeg,out of stock,no,no,all
19,HT603,HT603,Gas Stove 60,Gas Stove,,800,1,Gas Stove on 4 | 60,images/HT603.jpeg,out of stock,no,no,all
20,HT606,HT606,Gas Stove 60,Gas Stove,,800,1,Gas Stove on 4 | 60,images/HT606.jpeg,out of stock,no,no,all
21,HT701,HT701,Gas Stove 70,Gas Stove,,950,1,Gas Stove on 5 | 70,images/HT701.jpeg,out of stock,no,no,all
